,pr_auc,roc_auc,macro_f1,precision,recall,accuracy,weighted_score
CAGE-RF CHEB v7,0.2822725671601228,0.7608789643080773,0.5983609513191641,0.5871856124398795,0.6383618751957687,0.7866,0.4403167592396434
CAGE-RF GRAPHCONV v6,0.27928984841228816,0.754408803788315,0.5954275662609673,0.5856741207270437,0.615687568522152,0.8065,0.43735870733662774
CAGE-RF TAG v6,0.27673475906306083,0.7559036349992211,0.6001037627549183,0.5885787720493256,0.6337342499682177,0.7946,0.4384192609089895
CAGE-RF TAG v7,0.27343324045574746,0.7514654689841538,0.603507749699614,0.5994017190615292,0.6084228251529528,0.8321,0.4384704950776807
GCN,0.2681894725113987,0.7681737860559008,0.6153404464835841,0.6042666391078602,0.6345409827045866,0.821,0.4417649594974914
CAGE-RF GRAPHCONV v5,0.26716550941469874,0.7524111845734763,0.5956495942250959,0.5934086443084272,0.598136019663456,0.8321,0.4314075518198973
CAGE-RF SAGE v7,0.2660601354564618,0.7560497793708947,0.61044658042028,0.5982908795928328,0.6362897761862414,0.8106,0.4382533579383709
CAGE-RF SG v7,0.260982541984191,0.7497900193321494,0.6092364773840727,0.5969683436227506,0.6367269745566551,0.808,0.43510950968413187
CAGE-RF SG v3,0.25384026460322073,0.7371233670872999,0.5972188616736153,0.5954815146946948,0.5990957125617287,0.8338,0.425529563138418
CAGE-RF SG v5,0.25359033116695806,0.7476231413265959,0.6003306425094784,0.5904612322728323,0.6190605450597325,0.8118,0.42696048683821824
CAGE-RF GAT v3,0.2532930870266409,0.7349857278340376,0.5898978337349763,0.5855039787798408,0.5955247817687688,0.8241,0.4215954603808086
CAGE-RF GCN v7,0.2530113391043134,0.7386281750346297,0.5941179210612364,0.5978903963820165,0.5908697946007285,0.8415,0.4235646300827749
CAGE-RF GAT v5,0.2528717306633627,0.7542108989227199,0.593022379651154,0.5851199408451316,0.60631867217343,0.8142,0.4229470551572584
CAGE-RF SAGE v6,0.2526353175295571,0.7610357768731544,0.6049205602547123,0.5934907457866858,0.6297561991834684,0.8078,0.42877793889213467
CAGE-RF GAT v4,0.252506938767153,0.7346809434752686,0.5916055488544858,0.5864001479774582,0.5986008269232802,0.8228,0.4220562438108194
CAGE-RF SG v4,0.2524309718694764,0.7372791424669072,0.5934860199842272,0.589240834809004,0.5987846063105723,0.8265,0.4229584959268518
CAGE-RF CHEB v6,0.2504921228890993,0.7543641554233292,0.5953674559450414,0.5862853267033691,0.6514974340525375,0.7687,0.4229297894170703
CAGE-RF GCN v5,0.24397510540657324,0.7302629284921861,0.588288294706228,0.5786554785835306,0.6192841326131513,0.7879,0.41613170005640066
CAGE-RF GAT v6,0.24332823655174834,0.7468789360571207,0.5911504597820121,0.581300441795932,0.61599719307978,0.7976,0.41723934816688024
CAGE-RF GCN v4,0.24216035910783504,0.7320366144251161,0.5939872679599094,0.5879181367846555,0.6025517627164618,0.8217,0.41807381353387224
CAGE-RF GCN v6,0.24179065826927568,0.7419706780753117,0.5955702347944722,0.5866596238605677,0.6118216819374941,0.8118,0.418680446531874
CAGE-RF GCN v3,0.2412016394917211,0.7317722802996697,0.5932319559444829,0.5874518311335706,0.601253601626544,0.8221,0.417216797718102
CAGE-RF SG v6,0.23889237747302683,0.7496052521491717,0.5841714407695953,0.5775927644716996,0.6376680475062555,0.7604,0.41153190912131105
CAGE-RF GAT v7,0.23793447746415222,0.7321593974288272,0.5898304394415158,0.5826278707247808,0.6015351233969187,0.8145,0.413882458452834
MLP,0.23198787463266807,0.7231674933034861,0.5888086217740764,0.5798238541191829,0.6082649260126215,0.8028,0.41039824820337223
